ProjectId	ProjectName	StationId	StationCode	StationName	SampleDate	DOC	DOC	TOC
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.02.2020 15:30		3.3	3.4
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.03.2020 14:40		3.3	3.3
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	14.04.2020 12:00		3.2	3.1
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	04.05.2020 12:15		3.7	3.6
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	11.05.2020 11:35		3.8	4.4
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	25.05.2020 08:15		4.1	4.2
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.06.2020 12:10		4.2	4.2
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	15.06.2020 12:00		3.2	3.2
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	22.06.2020 08:45		4.5	4.3
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	06.07.2020 12:15		3.6	3.7
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.08.2020 12:20		3.5	4.3
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.09.2020 12:10	3.5		3.6
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	05.10.2020 11:45	5.5		5.8
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.11.2020 12:50		4.5	4.5
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.12.2020 13:15		3.5	3.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	25.01.2017 11:05		2.5	2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	16.02.2017 00:00			
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	17.02.2017 00:00			
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	22.02.2017 13:15			2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.03.2017 10:45			2.4
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.04.2017 11:25		2.2	2.3
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.05.2017 00:00			
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.05.2017 12:30		2.4	2.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	14.06.2017 10:05		2.8	2.6
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	06.07.2017 13:30		3.4	3.5
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.08.2017 00:00			
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	09.08.2017 12:00		2.6	2.7
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	13.09.2017 09:50		3	3.3
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	03.10.2017 00:00			
12564	Elveoverv†kings hovedelver 2021-25	40353	TELESKI	Skienselva	04.10.2017 12:45		3.1	3.2
