ProjectId	ProjectName	StationId	StationCode	StationName	SampleDate	Depth1	Depth2	A254	A285	A365	A410
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	15.05.2019 13:10:00	0	0	0.139382	0.09726	0.02831	0.013138
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	22.05.2019 10:00:00	0	0	0.140316	0.098362	0.028596	0.013284
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.06.2019 10:45:00	0	0	0.130094	0.089908	0.025108	0.01148
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	12.06.2019 09:30:00	0	0	0.147842	0.103384	0.029836	0.0138238
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	24.06.2019 10:45:00	0	0	0.147724	0.102754	0.029236	0.01344
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	01.07.2019 11:30:00	0	0	0.146372	0.101774	0.028076	0.012612
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	05.08.2019 11:00:00	0	0	0.120026	0.08197	0.021854	0.009712
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	02.09.2019 08:20:00	0	0	0.144226	0.099744	0.02763	0.012422
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	07.10.2019 12:20:00	0	0	0.15283	0.106364	0.030012	0.013678
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	04.11.2019 11:35:00	0	0	0.149458	0.103944	0.029702	0.013716
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	03.12.2019 11:15:00	0	0	0.141684	0.098452	0.027878	0.012702
12564	Elveoverv†kings hovedelver 2021-25	40352	BUSEDRA	Drammenselva	06.01.2020 14:15:00	0	0	0.11734	0.0819	0.023252	0.01063
